id,latitude,longitude,temperature,precipitation
233,-7.3360763,107.9512504,73,2.14
234,50.3171905,2.801236,89,4.03
235,46.71327,96.52588,111,9.07
236,32.7231719,110.060938,103,8.43
237,15.9535593,121.1098151,67,5.32
238,27.950753,109.592921,32,4.88
239,33.4596808,132.7393724,114,6.03
240,12.4579462,107.8169229,93,8.59
241,31.2777088,49.5993167,23,1.99
242,35.99417,129.345,37,7.61
243,-6.8897071,-38.5612185,40,8.9
244,43.6165639,27.091526,47,6.41
245,40.5871242,43.8677691,86,9.08
246,46.5201168,15.8866431,36,6.75
247,39.5691202,45.9004974,114,9.46
248,37.705473,22.7494193,102,0.89
249,41.86624,125.582116,49,1.01
250,43.6422125,-79.3744257,92,0.6
251,50.4674149,15.1761989,108,6.07
252,40.4722617,-7.9751886,33,1.19
253,-6.7183784,111.466342,113,0.78
254,41.5780148,19.6966667,104,9.49
255,43.858616,21.403911,79,5.92
256,-0.5388381,37.4596409,39,8.94
257,-6.8081501,106.6645007,99,3.94
258,48.689836,6.17445,114,9.13
259,59.3462826,18.0843085,102,5.28
260,52.454148,-1.7138034,16,0.04
261,-10.8810514,-61.9704582,64,8.82
262,-38.0846351,176.6989753,35,7.43
263,15.92762,120.413631,48,8.82
264,11.2666664,123.7333298,24,0.78
265,50.6162099,33.8468153,73,0.51
266,14.572396,120.995514,53,4.17
267,61.7983586,34.3753781,73,6.84
268,14.5994449,120.9990792,84,7.19
269,34.5465928,134.3028193,86,8.47
270,45.3293893,20.8278865,22,1.12
271,25.9119375,32.7632609,48,8.33
272,15.1850483,145.7467259,47,5.08
273,37.7525244,139.1650556,64,4.17
274,-7.0258756,107.5176489,58,4.63
275,16.2661738,-3.4044187,108,7.92
276,8.1890712,126.3547613,39,4.61
277,14.549394,-90.789918,68,0.21
278,35.7297805,140.2669505,60,9.73
279,45.8442734,20.2867074,102,7.28
280,14.6925451,120.9653066,81,8.02
281,30.4111518,-88.9198322,37,8.1
282,14.5508865,121.0075554,38,3.66
283,51.7717109,15.921227,87,2.24
284,-27.6662277,-48.5269452,32,2.06
285,14.6062786,121.1140816,68,0.83
286,49.5769172,19.833467,89,0.82
287,69.679788,18.9710079,94,7.28
288,31.2185473,-8.2404397,68,8.85
289,58.4126605,51.2826021,72,3.44
290,50.667396,3.0751792,48,6.34
291,51.9204659,15.1155372,107,8.85
292,30.975215,101.127088,33,5.37
293,38.3204422,141.0226267,66,4.24
294,5.9411628,-56.9914585,104,5.8
295,31.2303904,121.4737021,20,0.38
296,52.2215511,85.7616347,89,2.48
297,52.3974171,19.735653,66,0.65
298,29.649109,117.136252,93,3.08
299,28.71321,109.496611,37,2.0
300,-6.9557,113.4028,37,2.47
301,-2.673867,139.7728757,112,3.72
302,-3.8246952,103.1048449,42,0.72
303,-7.2035144,106.5241371,60,5.85
304,44.6111646,19.3208433,74,5.49
305,15.8278,120.4946766,40,5.38
306,48.0158297,40.0785154,39,5.67
307,-4.061738,19.5865629,60,1.94
308,6.6763591,-72.7628653,18,3.15
309,12.9796798,123.9196804,59,0.31
310,60.3560649,5.3446343,39,2.26
311,30.7066802,31.2447709,82,8.07
312,29.208918,119.460526,90,7.23
313,56.4306363,60.1619743,36,7.75
314,33.3128057,44.3614875,19,0.01
315,51.3988867,34.8922317,37,0.84
316,31.26886,-9.183608,62,4.88
317,24.44218,114.938684,69,9.12
318,50.59219,3.4387783,42,3.78
319,64.8101062,25.987464,70,4.16
320,46.6669865,3.590421,47,3.03
321,25.8025129,-100.2268529,109,5.66
322,38.731148,-9.3641114,38,2.16
323,34.776765,105.799791,111,1.59
324,-30.7456924,-58.0135415,44,9.98
325,34.151624,109.323479,23,8.28
326,13.5730766,123.0925437,47,3.18
327,37.8336508,140.557325,98,4.73
328,35.657343,107.730679,108,7.96
329,49.9535113,16.8819389,54,9.24
330,41.558895,-8.6714665,35,5.44
331,41.76,-72.74,53,3.57
332,50.0705922,15.1845475,37,8.38
333,-2.6778303,118.887477,101,5.29
334,31.491169,120.31191,75,1.63
335,-6.3376,106.0164,79,0.55
336,52.6957717,39.4722994,109,3.31
337,28.154774,116.870383,107,8.73
338,7.4509008,126.5772629,52,5.07
339,39.9535181,44.5519782,83,8.86
340,4.6259611,96.6740303,16,4.19
341,30.315892,120.218758,63,9.25
342,6.95333,124.42556,99,2.12
343,33.5142841,36.3741834,94,9.29
344,21.0598649,105.4943648,44,7.6
345,7.444229,123.33769,44,3.37
346,49.5178845,6.190803,108,1.15
347,43.3625303,27.1255402,30,4.74
348,19.604951,-71.252526,42,5.26
349,30.1762897,31.2067851,23,7.3
350,14.5697429,121.0190818,113,8.12
351,-7.6832323,110.670528,82,9.73
352,42.9871344,25.0635741,70,5.95
353,35.937102,116.470304,59,8.38
354,-22.8340652,-42.0205561,19,4.03
355,60.9417483,26.3923127,110,6.8
356,41.0753802,-8.1202831,69,3.28
357,42.891255,129.508945,47,6.89
358,2.7682671,-76.4215988,33,0.48
359,24.034527,112.047639,91,6.34
360,-7.5289363,110.7614166,52,3.52
361,71.96347,114.09199,78,7.99
362,17.7917146,95.7563151,102,0.66
363,-12.7902832,45.1050487,63,1.87
364,-34.6234902,-58.4955016,82,0.39
365,20.0450379,99.8913421,58,7.9
366,20.6523028,-87.0696273,64,7.13
367,-5.9341855,-78.6646942,102,1.82
368,39.609342,112.365875,107,3.13
369,59.2689705,17.9879854,79,6.49
370,63.6939838,22.7427761,64,9.22
371,24.84662,116.746096,94,7.08
372,47.3005,29.1224979,50,2.79
373,3.1523104,101.7178316,32,5.35
374,14.3836409,120.8215431,85,4.02
375,-28.1999491,-51.5303101,33,8.82
376,-37.6981612,176.1595188,62,0.62
377,20.07552,-97.0706848,32,8.89
378,48.8602,124.1228,96,6.81
379,36.4583521,140.1060931,103,0.43
380,3.9878168,-75.946324,114,0.91
381,6.9421349,1.6736397,39,8.61
382,39.95,-75.16,45,6.75
383,29.3352938,48.0715612,77,8.51
384,-25.9685155,31.2483291,34,7.35
385,42.3604802,-71.0590624,84,5.36
386,25.461545,118.31969,48,9.76
387,34.9128121,-116.6492954,102,2.28
388,-8.5740103,115.2379322,73,8.58
389,53.7852624,27.6290067,56,7.76
390,9.9785656,-63.2194183,63,5.93
391,49.7052493,4.9404055,79,7.64
392,63.0040018,16.6737805,107,4.27
393,14.290674,-91.912218,38,5.95
394,38.5691786,-9.0814271,56,3.76
395,-7.2789,107.0659,54,4.09
396,6.1244023,100.3674801,87,8.32
397,-18.9797547,32.3759269,44,2.6
398,14.6634634,-89.8468753,67,0.8
399,45.6838431,28.6143107,95,7.14
400,-1.5564515,-47.6455169,53,8.18
401,-7.633333,108.133333,22,6.12
402,32.8172446,-96.7712123,79,6.28
403,49.718789,17.0837083,97,2.41
404,10.2511369,123.7810708,104,2.62
405,-10.459783,-40.1868956,91,1.36
406,54.4626821,30.0025887,62,7.42
407,24.880992,118.71899,77,7.4
408,56.3095721,42.9560492,83,0.14
409,26.848547,115.193595,25,2.78
410,-9.5318628,124.4364621,67,7.48
411,53.800245,-1.48003,40,4.12
412,53.149977,140.6634789,51,9.81
413,36.792339,10.6295091,16,9.18
414,56.0418013,12.7039013,31,5.73
415,-13.8000058,32.8930441,47,7.1
416,14.3545083,47.0802023,81,9.17
417,33.9516114,-118.3875775,49,9.35
418,35.94,-83.99,115,8.83
419,39.9729825,67.199876,62,8.45
420,37.054157,122.354016,63,4.97
421,53.0863997,18.6197864,98,7.27
422,41.5122699,-8.4650216,57,0.34
423,37.499494,121.444782,114,6.22
424,-8.6282191,116.4636472,88,4.48
425,44.9259216,19.5010071,115,2.98
426,48.7499009,2.3825213,83,1.0
427,13.460196,144.715468,28,4.33
428,18.4701519,-69.9851563,39,4.05
429,55.1518222,33.279163,101,9.19
430,11.6313786,125.4600442,89,5.5
431,22.795672,-82.5131717,99,9.8
432,-7.8529367,110.3606701,47,8.84
433,57.537763,26.7043139,67,1.27
434,16.913074,121.065069,68,8.1
435,13.7832268,120.9891643,110,9.22
436,52.1867388,16.7971141,60,0.38
437,34.805822,104.773803,34,7.6
438,41.3193419,-8.2091148,71,9.25
439,22.625636,114.038535,112,8.81
440,-7.1861216,108.4424414,56,1.63
441,-2.9863917,104.7321081,65,4.29
442,-6.8245964,111.4544179,69,4.38
443,22.948016,113.366904,65,0.15
444,59.4411274,30.1610699,23,6.35
445,51.5829309,4.7066416,95,1.03
446,-34.1979128,-53.8617544,27,3.18
447,38.8794495,-6.9706535,33,0.7
448,16.7445704,100.1367166,32,9.79
449,-4.581521,-79.796898,56,9.06
450,-9.7944518,124.5722198,73,7.88
451,8.2435239,124.3401302,35,6.76
452,28.03825,120.892196,77,4.53
453,-20.2687728,-50.5316737,41,7.56
454,-3.3939043,120.3608455,96,1.66
455,16.3413382,104.2279672,86,8.97
456,24.84662,116.746096,19,9.19
457,-26.8214685,-55.0199394,80,4.34
458,0.3407154,127.8300034,69,5.77
459,6.902156,80.58662,49,8.64
460,4.338952,-73.938919,80,5.99
461,14.033333,-86.466667,87,9.84
462,14.722622,121.0427995,72,8.91
463,33.3074734,130.3745544,81,1.22
464,47.0163969,-68.1430029,111,3.35
465,15.3083007,47.9787391,36,2.39
466,59.76039,30.4754399,92,1.85
467,10.4309602,-85.0966591,92,6.25
468,44.330811,-78.3216329,41,4.48
469,42.385811,21.7405988,61,5.16
470,38.2513578,140.8817471,27,5.4
471,55.7213148,37.6243984,26,8.91
472,46.814102,130.375062,103,9.7
473,36.689919,118.4807442,28,2.75
474,39.538047,116.683752,99,8.54
475,-1.6258482,99.1788304,73,0.19
476,-3.5098478,-44.7381432,49,2.33
477,59.2690316,18.0588936,44,2.44
478,-7.4250762,108.2822389,21,8.75
479,47.2215999,5.9675963,70,3.89
480,13.9293954,121.3228399,85,5.72
481,-6.4146234,107.5593913,37,6.14
482,43.9078337,12.4581209,30,5.65
483,57.6437016,32.4624195,23,0.99
484,49.718789,17.0837083,62,9.92
485,39.9793657,-75.1253492,33,8.29
486,-7.992641,112.624117,84,6.41
487,31.7751564,117.2102637,65,4.36
488,4.2743779,-75.931004,74,5.93
489,39.14,-84.54,92,2.24
490,19.4468231,-99.1303962,102,4.18
491,61.3649277,24.6566461,72,6.75
492,48.8231572,103.5218199,110,3.13
493,50.9115477,14.6182476,32,2.05
494,1.4403613,10.5718086,102,2.66
495,58.2730218,13.1994008,72,2.75
496,-10.8163426,123.0057261,32,8.82
497,7.1849927,124.1839966,58,1.9
498,38.8920292,-77.0136483,58,5.03
499,30.318685,119.725587,84,8.58
500,40.7,-111.94,114,0.49
501,39.635068,117.515189,41,5.51
502,37.5615702,140.7512365,33,6.31
503,40.9937071,22.8753674,65,8.46
504,26.085391,119.583599,53,6.87
505,36.334104,113.228852,31,1.44
506,9.1681467,8.9245343,93,2.14
507,-6.6641,111.5655,104,5.69
508,-9.6936,119.4562,64,0.09
509,37.9746194,23.6412944,46,7.4
510,8.7963805,117.8314494,97,2.58
511,-8.1916,123.7529,45,8.28
512,-18.0524283,44.0341961,41,3.6
513,42.707822,47.5641242,51,2.69
514,7.3042466,122.258933,106,1.29
515,30.921373,118.784812,40,1.24
516,-18.2852179,-66.8409544,95,3.91
517,60.54595,16.2841,113,1.08
518,46.0313077,29.9343459,28,6.03
519,-4.1828379,13.2865504,108,1.49
520,37.507694,101.414709,36,5.06
521,6.191677,-73.0169135,112,0.05
522,36.3276673,138.8951009,82,8.31
523,45.6829132,13.9697218,107,0.36
524,-14.9210683,-49.609512,80,1.39
525,52.6435136,4.7270746,57,2.6
526,11.233633,122.061539,45,8.15
527,33.12688,106.558023,60,0.51
528,44.2006496,43.4273768,66,6.49
529,40.0016242,116.3878492,53,5.17
530,51.9777094,36.9137821,39,7.16
531,51.4139633,-2.2685462,38,3.41
532,37.3051059,136.7493479,59,4.7
533,31.364902,108.249509,89,1.63
534,7.20312,124.796217,82,5.43
535,6.8793892,-72.189,109,6.53
536,-16.3062209,-49.4872858,41,2.82
537,32.2875125,105.5230659,100,3.5
538,60.4624232,23.5496765,70,2.96
539,28.841329,91.016402,44,1.02
540,-24.7711226,25.5897031,77,4.49
541,58.3226908,15.1335348,35,2.44
542,14.0654264,100.6473542,61,1.81
543,25.983202,107.869749,20,5.89
544,15.60444,-13.3211909,41,7.0
545,-27.633736,-55.497642,94,9.05
546,30.169665,121.266579,79,0.13
547,45.3940354,18.3826102,80,5.34
548,41.2696994,-8.5743985,104,0.05
549,50.4848926,14.0286944,32,5.93
550,24.385642,102.554313,78,2.53
551,47.4494702,-122.307217,113,8.83
552,41.2044165,-7.2153847,47,7.17
553,54.87559,36.384275,102,3.31
554,-7.992641,112.624117,54,7.03
555,52.3612714,4.8827921,67,3.28
556,55.984085,22.2373507,28,8.88
557,-7.2489098,108.48102,44,5.65
558,49.4303242,22.5942366,16,3.73
559,-24.2670414,-52.7241914,74,1.55
560,67.1466984,-178.7494469,29,2.71
561,50.12514,18.3810394,70,1.64
562,23.498459,111.746261,78,3.75
563,-14.3568964,-71.1693594,53,0.6
564,-22.7575561,-42.1343805,64,2.28
565,10.6993883,122.5024428,28,0.53
566,53.7683238,18.1130662,22,4.25
567,27.198639,54.3666012,66,1.4
568,28.2412186,112.9513185,34,0.72
569,12.481536,123.380874,20,0.02
570,45.0818466,18.3957811,80,5.37
571,53.8819853,18.5517476,114,4.2
572,35.818632,111.285799,61,7.26
573,45.6878582,18.4041894,35,3.41
574,5.6956728,-0.3301342,110,9.56
575,55.8697739,48.5236711,21,9.98
576,51.0722125,132.6007578,98,9.95
577,49.9899828,18.6926323,75,1.95
578,57.227222,29.161111,91,5.0
579,-9.0202023,-78.6143377,53,7.15
580,29.3728871,113.1149933,89,9.19
581,-21.8737026,-51.8452266,91,9.42
582,54.1347287,33.2921685,37,6.93
583,32.31651,-95.2514685,97,8.46
584,39.2256483,-9.0073673,44,4.94
585,63.8294111,15.3600636,82,4.2
586,33.8431758,130.4835307,92,0.54
587,-29.0311602,24.5877497,42,8.72
588,36.8100183,42.0629842,112,4.02
589,44.7821727,20.4514425,62,1.75
590,-7.0215218,112.4798088,35,2.5
591,26.888665,112.616612,21,3.19
592,22.781631,108.273158,48,8.3
593,57.28876,54.97278,60,1.16
594,-7.6839,107.9651,34,2.3
595,39.0041313,63.568808,48,1.07
596,29.356803,113.12873,70,9.0
597,45.5206082,18.6747675,80,8.69
598,25.1418538,68.5543777,62,0.97
599,40.229627,22.4989768,60,7.21
600,-9.7702219,124.5140637,98,3.73
601,8.679187,124.972309,16,7.78
602,25.112046,99.161761,114,4.73
603,12.0687,-85.0908671,106,8.5
604,50.88758,21.66654,28,1.73
605,12.3772165,-85.6698146,35,4.42
606,17.7409147,-91.7660525,33,6.74
607,53.6972399,-7.606287,58,1.67
608,-7.2630131,112.7211714,89,1.53
609,33.39722,101.956537,76,3.97
610,31.228026,121.454211,81,6.8
611,39.07,-84.53,67,1.1
612,39.0392193,125.7625241,80,1.44
613,-7.0407255,107.0893798,110,9.22
614,39.817642,-75.5101999,43,8.64
615,50.7241261,26.0266362,56,5.84
616,35.65599,35.88871,71,6.51
617,59.326934,14.524558,25,4.67
618,59.2830988,18.033347,32,7.46
619,38.656021,-27.268149,99,2.12
620,34.4911201,62.6031004,64,8.48
621,46.013979,83.663731,97,5.74
622,9.9165452,-84.1014639,49,4.15
623,-45.8732238,-67.5018975,77,6.73
624,-17.6817232,178.8323025,100,7.6
625,63.7388395,34.3097519,29,3.12
626,29.116031,112.567886,98,1.2
627,-15.8146532,-47.9029793,111,5.35
628,50.24979,-118.96904,55,2.22
629,50.2804989,127.5159741,112,0.64
630,-37.758979,176.4495638,76,2.03
631,-22.4206096,-41.8625084,71,5.4
632,49.5730119,22.0608204,26,5.77
633,-1.2816645,36.8458837,35,4.53
634,-20.8097593,27.2029363,33,6.24
635,15.5724296,-88.0350859,86,7.01
636,51.247228,58.498546,20,0.66
637,37.1691,10.03478,110,7.2
638,52.3211465,104.4410484,98,5.02
639,-7.62385,109.23577,21,9.09
640,-8.1916,123.7529,104,5.97
641,59.9028865,30.3175834,79,7.7
642,32.276495,111.468844,114,3.23
643,55.7963126,37.5116044,93,9.53
644,42.4324196,129.741477,110,4.42
645,34.7811851,72.3485015,67,9.88
646,48.1973404,16.3587247,37,8.58
647,14.868392,-91.619388,72,3.67
648,-6.5000633,107.7428952,79,4.92
649,47.0165054,-68.1430064,101,7.45
650,-27.3869255,-55.9145502,71,4.87
651,48.4089744,135.123385,18,6.67
652,-7.935395,111.8210866,83,5.69
653,13.9327517,121.6158104,45,0.65
654,14.565668,121.0317737,94,9.8
655,45.6110839,19.5361203,42,6.04
656,-8.817396,120.806198,70,2.34
657,57.8702991,33.6950887,40,5.37
658,40.356194,-8.0224709,73,3.81
659,27.0522919,89.5756987,15,8.61
660,11.8215864,-86.1306519,94,7.34
661,29.9188786,121.8108521,86,5.88
662,-7.3463033,108.2807559,47,7.53
663,9.333659,-75.540823,62,4.79
664,17.7302207,121.4674111,75,7.62
665,39.75,19.683333,26,4.39
666,39.9391612,116.4578203,113,3.45
667,34.6741181,-92.3517526,15,5.2
668,35.72154,111.350842,112,2.43
669,46.7713478,3.8379578,25,0.83
670,48.7381259,2.3536083,49,3.58
671,30.600064,114.309091,84,2.5
672,14.6388542,121.0041022,97,3.15
673,53.4049709,21.5480129,69,8.32
674,19.241239,108.758458,26,4.95
675,34.99562,103.053321,73,1.12
676,39.7032415,67.1060353,58,9.98
677,-6.6572023,106.7057733,90,5.43
678,4.2399992,13.4482868,20,1.82
679,46.7046395,16.1572755,103,5.49
680,43.0745339,-89.3805579,74,6.27
681,53.1872306,18.0963464,33,5.95
682,32.010214,119.606439,82,6.98
683,-31.3317595,-54.1038619,94,9.09
684,25.5497,111.689821,63,6.5
685,25.637152,106.979574,90,0.84
686,59.3281151,14.5096023,83,8.7
687,68.1416652,33.3096133,66,6.39
688,4.88917,-75.870743,82,4.7
689,10.1709167,-66.8915809,36,2.64
690,31.793861,117.309522,115,4.97
691,-9.8550137,124.2949409,45,2.85
692,51.6878774,23.1996378,39,8.14
693,-7.384252,107.9591094,62,9.88
694,53.1179087,17.2873137,107,3.59
695,9.3296921,125.9334539,95,4.74
696,24.094765,116.00509,68,5.74
697,4.888109,-73.366926,51,5.9
698,21.2648137,104.6427499,113,0.27
699,-6.8654713,111.6571293,101,5.06
700,-7.1856094,112.3188749,25,2.18
701,36.4707823,140.5615795,98,5.92
702,25.179836,119.08713,115,6.52
703,17.7855637,-99.9792312,74,3.1
704,51.6403247,21.7444457,114,0.7
705,-10.7333933,123.1260578,85,8.29
706,-6.9013005,111.9611919,19,3.4
707,50.6715465,22.6706518,82,7.2
708,-1.5798321,-48.598804,36,7.65
709,54.356424,41.9194126,52,3.6
